Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Liver Cancer,2010,NCRR,5P41RR005959-21,7513,INJURY-RELATED MORPHOGENIC PATHWAY SIGNALING AND HEPATOCARCINOGENESIS,"DIEHL, ANNA MAE",DUKE UNIVERSITY,NC,"$5,460"
Liver Cancer,2010,NCRR,5P41RR013461-12,7602,ROLE OF GENETIC AND NON-GENETIC MECHANISMS IN FURAN RISK,"DEKANT, WOLFGANG",UNIVERSITY OF CALIF-LAWRNC LVRMR NAT LAB,CA,"$8,496"
Liver Cancer,2010,NCRR,5P51RR013986-12,8569,HBV RESOLUTION IN CHIMPANZEES,"LANFORD, ROBERT",SOUTHWEST FOUNDATION FOR BIOMEDICAL RES,TX,"$92,735"
Liver Cancer,2010,OD,5P51RR013986-12,8569,HBV RESOLUTION IN CHIMPANZEES,"LANFORD, ROBERT",SOUTHWEST FOUNDATION FOR BIOMEDICAL RES,TX,"$9,600"
Liver Cancer,2010,NCRR,5P51RR013986-12,8591,PROTEIN BIOMARKERS FOR EARLY DETECTION OF LIVER CANCER,"LANFORD, ROBERT",SOUTHWEST FOUNDATION FOR BIOMEDICAL RES,TX,"$22,219"
Liver Cancer,2010,OD,5P51RR013986-12,8591,PROTEIN BIOMARKERS FOR EARLY DETECTION OF LIVER CANCER,"LANFORD, ROBERT",SOUTHWEST FOUNDATION FOR BIOMEDICAL RES,TX,"$2,300"
Liver Cancer,2010,NCRR,5P51RR013986-12,8594,T CELL MARKERS IN HCV RECHALLENGE OF CHIMPANZEES:  ASSOCIATION WITH CLEARANCE,"MAJOR, MARIAN",SOUTHWEST FOUNDATION FOR BIOMEDICAL RES,TX,"$4,830"
Liver Cancer,2010,OD,5P51RR013986-12,8594,T CELL MARKERS IN HCV RECHALLENGE OF CHIMPANZEES:  ASSOCIATION WITH CLEARANCE,"MAJOR, MARIAN",SOUTHWEST FOUNDATION FOR BIOMEDICAL RES,TX,$500
Liver Cancer,2010,NCI,1ZIABC005793-16,,Mechanism of viral hepatitis-mediated hepatocarcinogenesis,"WANG, XIN",NIH,,"$188,692"
Liver Cancer,2010,NCI,1ZIABC010297-13,,Identification of Gene Polymorphisms Associated with Infectious Diseases,"WINKLER, CHERYL",NIH,,"$786,549"
Liver Cancer,2010,NCI,1ZIABC010313-12,,Molecular signatures for liver cancer diagnosis and treatment stratification,"WANG, XIN",NIH,,"$566,077"
